antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.3766033863519754,0.4581836839404823,0.1913801949717804,0.5081743869209809,1.1091062487222754,1.0,0.01882666802857158,1.1016431467802936,0.15780182923465622,0.2974481658692185,0.09226503798199982,0.462933778006963
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.3496664956387891,0.4581836839404823,0.17855310415597742,0.5106382978723404,1.1144838102499344,1.0,0.018341621033638428,1.1071898632520578,0.1579552925706771,0.2837342030167142,0.09681254029658275,0.45016797312430007
frozenset({'yogurt'}),frozenset({'whole milk'}),0.28296562339661363,0.4581836839404823,0.15059004617752694,0.5321849501359928,1.1615100423460805,1.0,0.020939814421151365,1.1581848771582328,0.19392624332206754,0.25499565595134666,0.13657998846122146,0.4304261816749393
